,Date,Clock,Pressure,Temperature,dP,Std.OilFlowrate,WaterFlowrate,Std.GasFlowrate,Act.GasFlowrate,GOR(std),Act.OilFlowrate,Std.Watercut,OilDensity,WaterDensity,GasDensity
400,2017-03-05,06:40:00,241.22585899999999,110.364806,2221.605024,4209.179449,0.0,1.5392299999999999,0.068375,374.10341600000004,4804.319025,0.0,869.524695,1149.167742,15.735420000000001
410,2017-03-05,06:50:00,239.762071,110.481123,2238.039823,3610.4942049999995,7.521971000000001,1.477273,0.069999,427.942358,3976.5718380000003,0.26819899999999997,869.4837470000001,1149.152552,15.741929999999998
420,2017-03-05,07:00:00,240.472304,110.148696,2191.924768,3840.939594,50.895990000000005,1.55093,0.073145,405.38372799999996,4230.324258,1.263008,869.655606,1149.2163050000001,15.742087
430,2017-03-05,07:10:00,239.76460699999998,110.33845900000001,2250.082022,4142.6611729999995,8.122386,1.398896,0.063095,337.09301899999997,4562.341814,0.199061,869.545282,1149.1754310000001,15.735130999999999
440,2017-03-05,07:20:00,242.48448,109.62218500000002,2173.275935,3773.430213,239.93084,1.6394369999999998,0.078208,434.33080199999995,4156.602785,0.49468900000000005,871.263295,1149.321136,15.818942999999999
450,2017-03-05,07:30:00,243.106034,109.932455,2274.4788559999997,3843.072022,78.745384,1.606198,0.074159,421.67549,4360.332601,1.8215810000000001,871.088362,1149.2565630000001,15.845189000000001
460,2017-03-05,07:40:00,239.94077000000001,109.909944,2215.904713,4024.457138,0.0,1.5237690000000002,0.069159,379.108302,4440.091381,0.0,871.152642,1149.280291,15.738744
470,2017-03-05,07:50:00,241.05491099999998,109.316924,2172.668809,3557.32121,51.993615000000005,1.6131229999999999,0.07689299999999999,463.51047800000003,4045.28387,1.034848,871.520574,1149.415763,15.718442000000001
480,2017-03-05,08:00:00,239.25388700000002,109.75356799999999,2384.998302,4096.424015,18.09729,1.4743879999999998,0.060691999999999996,358.542077,4652.830803,0.458966,871.1980199999999,1149.297054,15.823609
490,2017-03-05,08:10:00,240.173611,109.491602,2270.5614600000004,3816.7924420000004,10.466478,1.636654,0.07663500000000001,445.94476399999996,4210.992517000001,0.315279,871.404123,1149.372948,15.762851999999999
500,2017-03-05,08:20:00,241.09357599999998,109.25846899999999,2328.031338,4154.411245,32.662064,1.56944,0.071199,382.637923,4583.214611,0.780866,871.524783,1149.4172720000001,15.707413
510,2017-03-05,08:30:00,239.502889,109.159768,2241.668834,3758.8262210000003,0.0,1.6027040000000001,0.07532799999999999,433.343521,4146.392033,0.0,871.5901960000001,1149.441259,15.688113000000001
520,2017-03-05,08:40:00,237.29443199999997,108.989856,2288.899615,3239.420916,49.125278,1.6462450000000002,0.080387,525.369991,3573.4261590000006,1.809695,871.67389,1149.47199,15.688680999999999
530,2017-03-05,08:50:00,239.907804,109.13306399999999,2351.239432,3864.9173619999997,0.0,1.6405470000000002,0.07462,428.22524699999997,4106.8031009999995,0.0,871.609231,1149.448295,15.723379999999999
540,2017-03-05,09:00:00,237.76287200000002,109.36849199999999,2433.891514,4481.221143,51.348122,1.455959,0.062104999999999994,333.69350499999996,4632.525042,2.835295,871.4671960000001,1149.396141,15.668747
550,2017-03-05,09:10:00,236.742352,109.098472,2333.3728920000003,4268.590998,0.0,1.426092,0.06310299999999999,349.19697,4707.332654999999,0.0,871.6731289999999,1149.4714900000001,15.512407000000001
560,2017-03-05,09:20:00,235.63862400000002,108.577339,2187.060995,3653.008519,84.91244499999999,1.652478,0.079427,463.005837,4028.370908,2.733193,871.951959,1149.573543,15.552716
570,2017-03-05,09:30:00,236.18623399999998,109.21916200000001,2346.74799,3898.5010740000002,50.582086,1.5109709999999998,0.069497,395.666402,4262.9935399999995,1.843936,871.555506,1149.428599,15.569985999999998
580,2017-03-05,09:40:00,235.028942,108.70348700000001,2189.22791,3109.433983,0.0,1.73032,0.085037,568.06505,3395.118511,0.0,871.894501,1149.552584,15.611476000000001
590,2017-03-05,09:50:00,238.07612799999998,109.508473,2498.0413329999997,4115.761325,0.0,1.515142,0.071315,369.70212799999996,4689.039533,0.0,871.376225,1149.362736,15.626947
600,2017-03-05,10:00:00,238.590938,109.270451,2403.605452,4059.9426359999998,18.066653,1.603068,0.074145,396.69993700000003,4478.052461,0.459744,871.539673,1149.422754,15.604164
610,2017-03-05,10:10:00,236.732128,109.698652,2575.666605,4883.437851,0.0,1.303751,0.052801999999999995,272.322479,5386.034636,0.0,871.2838429999999,1149.3286679999999,15.589182000000001
620,2017-03-05,10:20:00,237.260064,109.063395,2355.5783309999997,3670.6565950000004,1.9670869999999998,1.7132330000000002,0.082468,469.23518099999995,4048.671707,0.057057000000000004,871.6710130000001,1149.470923,15.657447
630,2017-03-05,10:30:00,237.01405899999997,109.050552,2312.075885,3570.197403,0.0,1.7903689999999999,0.087983,504.66148499999997,3937.1686329999998,0.0,871.640278,1149.459629,15.550262
640,2017-03-05,10:40:00,236.30582400000003,109.017003,2274.585299,3806.1341859999998,0.0,1.689073,0.083194,447.506341,4190.570212,3.292853,871.7268740000001,1149.491373,15.514035
650,2017-03-05,10:50:00,237.346869,109.413568,2622.878607,4980.408915999999,61.577653000000005,1.392528,0.061375,278.348737,4812.846860000001,0.0,871.4122980000001,1149.37592,15.606731
660,2017-03-05,11:00:00,236.531623,109.504828,2393.505506,4308.753345,0.0,1.479355,0.06612799999999999,347.519728,4751.501106000001,0.0,871.3952380000001,1149.369721,15.570337
670,2017-03-05,11:10:00,237.540428,109.19913999999999,2371.653133,4179.495208,72.294916,1.66835,0.077542,400.428495,4609.694593,1.568573,871.564834,1149.432017,15.613019
680,2017-03-05,11:20:00,236.544286,109.544848,2525.480822,4338.735315999999,86.871514,1.262672,0.053328,303.968165,4784.698203,2.491906,871.3911539999999,1149.36813,15.513876000000002
690,2017-03-05,11:30:00,238.513652,109.24037,2326.120162,3849.3609969999998,105.298966,1.68777,0.08437599999999999,447.797745,4359.7584990000005,0.0,871.546546,1149.425291,15.560478
700,2017-03-05,11:40:00,234.58405699999997,109.302898,2288.6358170000003,3885.472936,0.0,1.548768,0.072849,403.061579,4283.694682,0.0,871.511692,1149.412472,15.436798999999999
710,2017-03-05,11:50:00,238.12787799999998,109.63814199999999,2425.862429,4018.7879340000004,0.0,1.649086,0.07723300000000001,413.44118,4432.295972999999,0.0,871.317379,1149.341058,15.588826000000001
720,2017-03-05,12:00:00,234.437185,109.55771999999999,2340.9709629999998,4056.5174700000002,0.0,1.59435,0.073689,393.031506,4274.783138000001,1.235161,871.3591279999999,1149.3564310000002,15.454532
730,2017-03-05,12:10:00,235.54559500000002,109.54853899999999,2433.731013,4010.587858,29.952340999999997,1.5074239999999999,0.072401,380.950149,4513.25124,0.307766,871.3635859999999,1149.358069,15.508412
740,2017-03-05,12:20:00,235.26090699999997,109.53452800000001,2384.084173,3781.5237340000003,91.499655,1.518337,0.071212,400.878733,4169.726262,2.490704,871.3583779999999,1149.3561439999999,15.525208
750,2017-03-05,12:30:00,240.318298,110.23591499999999,2717.775436,4938.519089,0.0,1.467698,0.061568,301.961801,5448.405105,0.0,870.9959259999999,1149.222386,15.669873
760,2017-03-05,12:40:00,234.269506,109.410348,2281.7568969999998,3100.584274,65.64197800000001,1.679603,0.082987,551.5661650000001,3366.3688409999995,1.6771340000000001,871.433559,1149.383817,15.499920999999999
770,2017-03-05,12:50:00,238.34050200000001,109.721721,2435.872236,3591.711914,18.002792000000003,1.7745950000000001,0.087818,494.62398600000006,4024.507922,0.0,871.255342,1149.318215,15.624791
780,2017-03-05,13:01:00,235.963333,109.621354,2386.422011,4043.2613659999997,0.0,1.53115,0.070283,378.255058,4636.786042,0.0,871.322144,1149.342805,15.500608999999999
790,2017-03-05,13:11:00,237.075839,109.618477,2418.42294,3795.48355,25.060842,1.6602009999999998,0.07901799999999999,441.034583,4186.042943,0.736625,871.3219710000001,1149.342752,15.604313000000001
800,2017-03-05,13:21:00,238.09906099999998,109.99672,2590.463568,4811.569066,0.0,1.4604139999999999,0.062923,318.42339,5174.891436999999,0.009739,871.0786710000001,1149.2529710000001,15.635792000000002
